DateFrom,DateTo,LocalAuthority,NumberOfPlansPA
2014-04-01,2015-03-31,Hertfordshire County Council,1
2014-04-01,2015-03-31,Reading Borough Council,2
2014-04-01,2015-03-31,North Devon Council ,1
2014-04-01,2015-03-31,Cherwell District Council,1
2014-04-01,2015-03-31,Westminster City Council,1
2014-04-01,2015-03-31,Dacorum Borough Council,1
2014-04-01,2015-03-31,Wigan Council,1
2014-04-01,2015-03-31,Manchester City Council,1
2015-04-01,2016-03-31,Bristol City Council ,1
2015-04-01,2016-03-31,Oxfordshire County Council ,1
2015-04-01,2016-03-31,Westminster City Council,1
2015-04-01,2016-03-31,Cherwell District Council,2
2015-04-01,2016-03-31,Dacorum Borough Council,1
2015-04-01,2016-03-31,Reading Borough Council,1
2015-04-01,2016-03-31,North Devon Council ,1
2015-04-01,2016-03-31,Bolton Coucil,1
2016-04-01,2017-03-31,Wakefield Council ,2
2016-04-01,2017-03-31,Reading Borough Council,1
2016-04-01,2017-03-31,Westminster City Council,1
2016-04-01,2017-03-31,London Borough of Harrow,1
2016-04-01,2017-03-31,Cherwell District Council,1
2016-04-01,2017-03-31,Slough Borough Council ,1
2016-04-01,2017-03-31,Hertsmere Borough Council,1
2016-04-01,2017-03-31,Luton Borough Council,1
2016-04-01,2017-03-31,Stevenage Borough Council,2
2017-04-01,2018-03-31,Wigan Council ,1
2017-04-01,2018-03-31,Reading Borough Council,2
2017-04-01,2018-03-31,Westminster City Council ,1
2017-04-01,2018-03-31,North Devon Council  ,1
2017-04-01,2018-03-31,Oxfordshire County Council ,1
2017-04-01,2018-03-31,Luton Borough Council ,1
2017-04-01,2018-03-31,Wakefield Metropolitan DC,1
